code,title,prerequisite,prerequisite_link,dept_link
POLS 7369,International Security,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7387,Global Governance,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7962,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7976,Directed Study,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7980,Capstone Project,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7983,Topical Seminar in Political Science,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7990,Thesis,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 8407,Internship,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 8960,Exam Preparation—Doctoral,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 8986,Research,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 9000,PhD Candidacy Achieved,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 9986,Research,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 9990,Dissertation Term 1,POLS 9000,https://catalog.northeastern.edu/search/?P=POLS%209000,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 9991,Dissertation Term 2,POLS 9990,https://catalog.northeastern.edu/search/?P=POLS%209990,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 9996,Dissertation Continuation,POLS 9991,https://catalog.northeastern.edu/search/?P=POLS%209991,https://catalog.northeastern.edu/course-descriptions/pols/
